label,message,sentiment,predicted
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),positive,neutral
ham,Ho ho - big belly laugh! See ya tomo,positive,positive
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",positive,neutral
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",positive,positive
ham,Company is very good.environment is terrific and food is really nice:),positive,positive
ham,She ran off with a younger man. we will make pretty babies together :),positive,positive
spam,"449050000301 You have won a £2,000 price! To claim, call 09050000301.",negative,neutral
ham,"Nah can't help you there, I've never had an iphone",positive,neutral
spam,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,negative,positive
ham,Sounds like you have many talents! would you like to go on a dinner date next week?,positive,positive
ham,Thankyou so much for the call. I appreciate your care.,positive,positive
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),positive,positive
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",positive,neutral
ham,"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",positive,negative
ham,Oh god..taken the teeth?is it paining,positive,neutral
ham,You're right I have now that I think about it,positive,positive
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,positive,positive
ham,Speak only when you feel your words are better than the silence... Gud mrng:-),positive,positive
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50",negative,positive
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",positive,neutral
ham,Howz that persons story,positive,neutral
ham,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,positive,neutral
ham,Hey. You got any mail?,positive,neutral
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,positive,positive
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,positive,neutral
ham,"I'll see, but prolly yeah",positive,neutral
ham,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams",positive,positive
ham,Carry on not disturbing both of you,positive,positive
ham,No she didnt. I will search online and let you know.,positive,neutral
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",positive,neutral
ham,"Fuuuuck I need to stop sleepin, sup",positive,neutral
ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,positive,negative
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.,positive,positive
ham,I'm not. She lip synced with shangela.,positive,neutral
ham,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn",positive,positive
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",negative,positive
ham,"Hi Chikku, send some nice msgs",positive,positive
ham,So do you have samus shoulders yet,positive,neutral
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,positive,neutral
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,positive,positive
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,positive,negative
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,positive,positive
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,negative,neutral
ham,ARR birthday today:) i wish him to get more oscar.,positive,positive
ham,Do u still have plumbers tape and a wrench we could borrow?,positive,neutral
ham,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,positive,negative
ham,"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO",positive,neutral
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,negative,positive
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?,positive,negative
ham,WHITE FUDGE OREOS ARE IN STORES,positive,neutral
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",positive,negative
ham,Doing project w frens lor. ,positive,neutral
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,positive,positive
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …",positive,positive
ham,Lol or I could just starve and lose a pound by the end of the day.,positive,positive
ham,No no:)this is kallis home ground.amla home town is durban:),positive,positive
ham,Dont know you bring some food,positive,neutral
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,positive,positive
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",positive,positive
ham,How long does it take to get it.,positive,negative
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,positive,positive
spam,08714712388 between 10am-7pm Cost 10p,negative,neutral
ham,I dunno lei... Like dun haf...,positive,neutral
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",negative,neutral
ham,Hey now am free you can call me.,positive,positive
spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",negative,positive
ham,Oh ho. Is this the first time u use these type of words,positive,positive
spam,88800 and 89034 are premium phone services call 08718711108,negative,neutral
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,positive,neutral
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,positive,negative
ham,"Ask g or iouri, I've told the story like ten times already",positive,neutral
ham,Hope you are not scared!,positive,neutral
ham,"Hey , is * rite u put »10 evey mnth is that all?",positive,neutral
ham,jay says he'll put in  &lt;#&gt;,positive,neutral
ham,My phone,positive,neutral
ham,Oh k.k..where did you take test?,positive,neutral
spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,negative,positive
ham,Maybe i could get book out tomo then return it immediately ..? Or something.,positive,neutral
ham,"You aren't coming home between class, right? I need to work out and shower!",positive,positive
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,positive,positive
ham,My friends use to call the same.,positive,neutral
ham,"Haha just kidding, papa needs drugs",positive,positive
ham,I am on the way to ur home,positive,neutral
ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,positive,negative
ham,Yes just finished watching days of our lives. I love it.,positive,positive
ham,Hey are we going for the lo lesson or gym? ,positive,neutral
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",positive,positive
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",negative,positive
ham,"Haha awesome, be there in a minute",positive,positive
ham,Hanging out with my brother and his family,positive,neutral
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,positive,neutral
ham,How. Its a little difficult but its a simple way to enter this place,positive,negative
ham,Smith waste da.i wanna gayle.,positive,negative
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,positive,positive
ham,1's finish meeting call me.,positive,neutral
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,positive,negative
ham,Ok. There may be a free gym about.,positive,positive
ham,Yup ü not comin :-(,positive,negative
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",positive,positive
ham,Yup i thk so until e shop closes lor.,positive,neutral
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,positive,positive
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",positive,positive
spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,negative,neutral
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",positive,positive
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,negative,neutral
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,negative,positive
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,positive,negative
ham,"What i mean was i left too early to check, cos i'm working a 9-6.",positive,negative
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,negative,positive
ham,Where are you call me.,positive,neutral
ham,Why nothing. Ok anyway give me treat,positive,positive
ham,I can make lasagna for you... vodka...,positive,neutral
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,positive,neutral
ham,Yo im right by yo work,positive,positive
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,negative,positive
ham,"Right on brah, see you later",positive,positive
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,negative,neutral
ham,There the size of elephant tablets & u shove um up ur ass!!,positive,neutral
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,negative,positive
ham,Alright i have a new goal now,positive,positive
ham,Ok... Help me ask if she's working tmr a not?,positive,positive
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",negative,positive
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,positive,positive
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,positive,neutral
ham,Oooh bed ridden ey? What are YOU thinking of?,positive,neutral
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd,negative,positive
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",positive,positive
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",positive,positive
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,positive,neutral
ham,"Sorry, I'll call later",positive,negative
ham,No da if you run that it activate the full version da.,positive,positive
ham,WOT U WANNA DO THEN MISSY?,positive,neutral
ham,it's really getting me down just hanging around.,positive,positive
ham,"Good stuff, will do.",positive,positive
ham,"The table's occupied, I'm waiting by the tree",positive,neutral
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",negative,positive
ham,"Not sure yet, still trying to get a hold of him",positive,negative
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,positive,negative
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",positive,positive
ham,"Yes, i'm small kid.. And boost is the secret of my energy..",positive,negative
ham,Hi. Hope you had a good day. Have a better night.,positive,positive
ham,Oh k. . I will come tomorrow,positive,neutral
ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",positive,positive
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,positive,positive
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),positive,positive
ham,Happy new year. Hope you are having a good semester,positive,positive
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",positive,positive
ham,How many times i told in the stage all use to laugh. You not listen aha.,positive,positive
ham,I havent add ü yet right.. ,positive,positive
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,negative,positive
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,positive,neutral
ham,Yes. I come to nyc for audiitions and am trying to relocate.,positive,neutral
ham,"Yeah, that's fine! It's £6 to get in, is that ok? ",positive,positive
ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,positive,neutral
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",negative,positive
ham,"Nah, Wednesday. When should I bring the mini cheetos bag over?",positive,neutral
ham,I am not at all happy with what you saying or doing,positive,positive
spam,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",negative,neutral
ham,"This is one of the days you have a billion classes, right?",positive,positive
ham,Is xy going 4 e lunch?,positive,neutral
ham,Kallis wont bat in 2nd innings.,positive,neutral
ham,Yes when is the appt again?,positive,neutral
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,negative,positive
ham,Its not that time of the month nor mid of the time?,positive,neutral
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",positive,positive
ham,I'm in chennai velachery:),positive,positive
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,negative,positive
ham,Pathaya enketa maraikara pa',positive,neutral
ham,Dont put your phone on silent mode ok,positive,positive
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,positive,neutral
ham,On the way to office da..,positive,neutral
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),positive,positive
ham,.Please charge my mobile when you get up in morning.,positive,neutral
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,negative,positive
ham,Jus finish watching tv... U?,positive,neutral
ham,I'm e person who's doing e sms survey...,positive,neutral
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,positive,negative
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,positive,positive
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,negative,neutral
ham,K...k...when will you give treat?,positive,neutral
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,positive,negative
spam,3. You have received your mobile content. Enjoy,negative,positive
ham,Wat time r ü going to xin's hostel?,positive,neutral
ham,What your plan for pongal?,positive,neutral
ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!,positive,neutral
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,positive,positive
ham,Guess he wants alone time. We could just show up and watch when they do..,positive,positive
ham,Wife.how she knew the time of murder exactly,positive,positive
ham,I'm working technical support :)voice process.networking field.,positive,positive
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",positive,positive
ham,... Are you in the pub?,positive,neutral
ham,"Awesome, I'll see you in a bit",positive,positive
ham,Yesterday its with me only . Now am going home.,positive,neutral
ham,Ok enjoy . R u there in home.,positive,positive
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",negative,positive
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,positive,neutral
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",positive,positive
ham,Whom you waited for yesterday,positive,neutral
ham,Pls i wont belive god.not only jesus.,positive,neutral
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",negative,negative
ham,Hey you around? I've got enough for a half + the ten I owe you,positive,negative
ham,* Thought I didn't see you.,positive,neutral
ham,Hey happy birthday...,positive,positive
ham,Studying. But i.ll be free next weekend.,positive,positive
ham,Ok can...,positive,positive
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",positive,positive
ham,K..give back my thanks.,positive,positive
ham,Pls she needs to dat slowly or she will vomit more.,positive,positive
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",positive,positive
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,positive,negative
ham,Unni thank you dear for the recharge..Rakhesh,positive,neutral
ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,positive,neutral
ham,Hi mom we might be back later than  &lt;#&gt; ,positive,neutral
ham,Have a good evening! Ttyl,positive,positive
ham,What time should I tell my friend to be around?,positive,neutral
ham,"Jus chillaxin, what up",positive,neutral
ham,Where do you need to go to get it?,positive,neutral
ham,Tmr timin still da same wat cos i got lesson until 6...,positive,neutral
ham,"Sorry, was in the bathroom, sup",positive,negative
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",positive,neutral
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,positive,neutral
ham,Just getting back home,positive,neutral
ham,"K, I'll work something out",positive,neutral
ham,The evo. I just had to download flash. Jealous?,positive,neutral
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,positive,positive
ham,Sorry da..today i wont come to play..i have driving clas..,positive,negative
ham,Prabha..i'm soryda..realy..frm heart i'm sory,positive,neutral
ham,She went to attend another two rounds today..but still did't reach home..,positive,neutral
ham,Go where n buy? Juz buy when we get there lar.,positive,neutral
ham,they released another Italian one today and it has a cosign option,positive,neutral
ham,Ü still attending da talks?,positive,neutral
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,negative,positive
ham,Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?,positive,negative
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",negative,positive
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,positive,neutral
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,positive,positive
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...,positive,negative
ham,"Sir Goodmorning, Once free call me.",positive,positive
ham,Just come home. I don't want u to be miserable,positive,negative
ham,"Dear relieved of westonzoyland, all going to plan this end too!",positive,neutral
ham,Oh ok i didnt know what you meant. Yep i am baby jontin,positive,positive
ham,Ü only send me the contents page...,positive,neutral
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",positive,positive
ham,All sounds good. Fingers . Makes it difficult to type,positive,positive
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,positive,neutral
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,positive,positive
ham,aathi..where are you dear..,positive,neutral
